id;name;description;price;category_id;inventory;created_at;updated_at
00000000-0000-0000-0000-000000000301;Smartphone;High-performance smartphone with latest features;599.99;00000000-0000-0000-0000-000000000101;10;2024-04-23 08:00:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000302;Men T-Shirt;Comfortable cotton t-shirt for men;29.99;00000000-0000-0000-0000-000000000102;11;2024-04-23 08:15:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000303;Programming Book;Comprehensive guide to programming languages;49.99;00000000-0000-0000-0000-000000000103;12;2024-04-23 08:30:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000304;Garden Hose;Durable garden hose for watering plants;39.99;00000000-0000-0000-0000-000000000104;13;2024-04-23 08:45:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000305;Running Shoes;Lightweight running shoes for outdoor activities;79.99;00000000-0000-0000-0000-000000000105;14;2024-04-23 09:00:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000306;Board Game;Fun board game for family entertainment;24.99;00000000-0000-0000-0000-000000000106;15;2024-04-23 09:15:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000307;Shampoo;Moisturizing shampoo for healthy hair;9.99;00000000-0000-0000-0000-000000000107;16;2024-04-23 09:30:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000308;Car Battery;High-quality battery for automotive use;129.99;00000000-0000-0000-0000-000000000108;17;2024-04-23 09:45:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000309;Vitamin Supplement;Essential vitamins for overall health;19.99;00000000-0000-0000-0000-000000000109;18;2024-04-23 10:00:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000310;Cereal;Nutritious breakfast cereal for a balanced diet;3.99;00000000-0000-0000-0000-000000000110;19;2024-04-23 10:15:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000311;Laptop;High-performance laptop with advanced features;999.99;00000000-0000-0000-0000-000000000101;20;2024-04-23 10:30:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000312;Women's Dress;Stylish dress suitable for all occasions;59.99;00000000-0000-0000-0000-000000000102;21;2024-04-23 10:45:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000313;E-book Reader;Portable e-book reader with a large display;149.99;00000000-0000-0000-0000-000000000103;22;2024-04-23 11:00:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000314;Lawn Mower;Efficient electric lawn mower for your garden;199.99;00000000-0000-0000-0000-000000000104;23;2024-04-23 11:15:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000315;Fitness Tracker;Wearable fitness tracker for active lifestyle;79.99;00000000-0000-0000-0000-000000000105;24;2024-04-23 11:30:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000316;Puzzle Game;Intricate puzzle game for mental challenges;14.99;00000000-0000-0000-0000-000000000106;25;2024-04-23 11:45:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000317;Hair Conditioner;Nourishing conditioner for smooth hair;12.99;00000000-0000-0000-0000-000000000107;26;2024-04-23 12:00:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000318;Car Wax;High-gloss car wax for a shiny finish;39.99;00000000-0000-0000-0000-000000000108;27;2024-04-23 12:15:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000319;Protein Powder;Protein supplement for muscle growth;29.99;00000000-0000-0000-0000-000000000109;28;2024-04-23 12:30:00;2024-04-23 08:00:00
00000000-0000-0000-0000-000000000320;Organic Juice;Refreshing organic juice for a healthy diet;4.99;00000000-0000-0000-0000-000000000110;29;2024-04-23 12:45:00;2024-04-23 08:00:00
